51112,You're the Top  [Anything Goes soundtrack] ,Cole Porter,Unkown Album
51641,Anything Goes,Cole Porter ,Unkown Album
52340,I Love Paris  [from the musical Can-Can],Cole Porter ,Unkown Album
51503,It's All Right With Me  [Can-Can and High Society soundtrack],Cole Porter [in the style of E. Fitzgerald],Unkown Album
51429,I Wanna Sex You Up,Color Me Badd,Unkown Album
51301,Brick House,Commodores,Unkown Album
51266,Easy,Commodores,Unkown Album
51041,Night Shift,Commodores,Unkown Album
51242,Lipstick on Your Collar,Connie Francis,Unkown Album
51453,Robot Man,Connie Francis,Unkown Album
50267,Where the Boys Are,Connie Francis,Unkown Album
51839,You're the Reason Our Kids Are Ugly  [duet],Conway Twitty + Loretta Lynn,Unkown Album
51575,Gangsta's Paradise,Coolio,Unkown Album
51131,Sunglasses at Night,Corey Hart,Unkown Album
50261,One Tin Soldier,Coven (Billy Jack theme),Unkown Album
52327,"The Rain, the Park and Other Things","Cowsills, The",Unkown Album
52128,Dreams,"Cranberries, The",Unkown Album
52114,Linger,"Cranberries, The",Unkown Album
52350,Salvation,"Cranberries, The",Unkown Album
52142,Zombie,"Cranberries, The",Unkown Album
52192,Sunshine of Your Love,Cream,Unkown Album
50260,Tales of Brave Ulysses,Cream,Unkown Album
50047,Bad Moon Rising,Creedence Clearwater Revival,Unkown Album
51464,Our House,"Crosby, Stills, Nash & Young",Unkown Album
51666,Don't Dream It's Over,Crowded House,Unkown Album
51555,Church of the Poison Mind,Culture Club,Unkown Album
51952,I'll Tumble 4 Ya,Culture Club,Unkown Album
50054,Karma Chameleon,Culture Club,Unkown Album
51554,Time (Clock of the Heart),Culture Club,Unkown Album
51382,Boys Don't Cry,"Cure, The",Unkown Album
52278,Close to Me,"Cure, The",Unkown Album
52118,In Between Days,"Cure, The",Unkown Album
50215,Love Cats,"Cure, The",Unkown Album
51397,The Caterpillar,"Cure, The",Unkown Album
51849,Why Can't I Be You?,"Cure, The",Unkown Album
51700,Superfly,Curtis Mayfield,Unkown Album
